FILE                                      IDX KIND  LABEL                EXPECT  VERDICT  COUNT NET0 
corpus/alloytools-models/models/book/chapter4/grandpa3.als    2 check Same                 -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter4/lights.als    0 check Safe                 -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter5/addressBook.als    0 run   add                  -       SAT         - -    
corpus/alloytools-models/models/book/chapter5/addressBook.als    1 check addLocal             -       SAT         - -    
corpus/alloytools-models/models/book/chapter5/lists.als    0 check FalseAssertion       -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter5/sets1.als    0 check Closed               -       SAT         - -    
corpus/alloytools-models/models/book/chapter5/sets2.als    0 check Closed               -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/hotel1.als    0 check NoBadEntry           -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/hotel2.als    0 check NoBadEntry           -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/hotel2.als    1 check NoBadEntry           -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/hotel2.als    2 check NoBadEntry           -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/hotel3.als    0 check NoBadEntry           -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/hotel4.als    0 check NoBadEntry           -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/mediaAssets.als    0 check HidePreservesInv     -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/mediaAssets.als    1 check CutPaste             -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/mediaAssets.als    2 check PasteCut             -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/mediaAssets.als    3 check PasteNotAffectHidden -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/abstractMemory.als    0 check WriteRead            -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/abstractMemory.als    1 check WriteIdempotent      -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/cacheMemory.als    0 check LoadNotObservable    -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/checkCache.als    0 check ReadOK               -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/checkCache.als    1 check WriteOK              -       UNSAT       - -    
